datetime,temperature_degC,probe_id
2022-12-20 17:00:40,37.50,TA
2022-12-20 17:00:40,36.50,TB
2022-12-20 17:00:40,34.44,TC
2022-12-20 17:05:40,33.13,TD
2022-12-20 17:05:40,37.56,TA
2022-12-20 17:05:41,36.50,TB
2022-12-20 17:05:41,34.56,TC
2022-12-20 17:10:41,33.06,TD
2022-12-20 17:10:41,37.56,TA
2022-12-20 17:10:42,36.56,TB
2022-12-20 17:10:42,34.56,TC
2022-12-20 17:15:42,33.13,TD
2022-12-20 17:15:42,37.56,TA
2022-12-20 17:15:43,36.56,TB
2022-12-20 17:15:43,34.63,TC
2022-12-20 17:20:43,33.19,TD
2022-12-20 17:20:43,37.56,TA
2022-12-20 17:20:44,36.56,TB
2022-12-20 17:20:44,34.75,TC
2022-12-20 17:25:44,33.25,TD
2022-12-20 17:25:44,37.63,TA
2022-12-20 17:25:45,36.63,TB
2022-12-20 17:25:45,34.69,TC
2022-12-20 17:30:45,33.31,TD
2022-12-20 17:30:45,37.63,TA
2022-12-20 17:30:46,36.69,TB
2022-12-20 17:30:46,34.75,TC
2022-12-20 17:35:46,33.25,TD
2022-12-20 17:35:46,37.63,TA
2022-12-20 17:35:47,36.69,TB
2022-12-20 17:35:47,34.75,TC
2022-12-20 17:40:47,33.25,TD
2022-12-20 17:40:47,37.63,TA
2022-12-20 17:40:48,36.75,TB
2022-12-20 17:40:48,34.88,TC
2022-12-20 17:45:48,33.31,TD
2022-12-20 17:45:48,37.63,TA
2022-12-20 17:45:48,36.75,TB
2022-12-20 17:45:49,34.81,TC
2022-12-20 17:50:49,33.44,TD
2022-12-20 17:50:49,37.69,TA
2022-12-20 17:50:49,36.75,TB
2022-12-20 17:50:50,34.88,TC
2022-12-20 17:55:50,33.44,TD
2022-12-20 17:55:50,37.69,TA
2022-12-20 17:55:50,36.81,TB
2022-12-20 17:55:51,34.94,TC
2022-12-20 18:00:51,33.50,TD
2022-12-20 18:00:51,37.69,TA
2022-12-20 18:00:51,36.75,TB
2022-12-20 18:00:52,35.00,TC
2022-12-20 18:05:52,33.50,TD
2022-12-20 18:05:52,37.69,TA
2022-12-20 18:05:52,36.75,TB
2022-12-20 18:05:53,35.00,TC
2022-12-20 18:10:53,33.56,TD
2022-12-20 18:10:53,37.75,TA
2022-12-20 18:10:53,36.81,TB
2022-12-20 18:10:54,35.00,TC
2022-12-20 18:15:54,33.50,TD
2022-12-20 18:15:54,37.75,TA
2022-12-20 18:15:54,36.81,TB
2022-12-20 18:15:55,35.00,TC
2022-12-20 18:20:55,33.50,TD
2022-12-20 18:20:55,37.75,TA
2022-12-20 18:20:55,36.88,TB
2022-12-20 18:20:56,35.00,TC
2022-12-20 18:25:56,33.56,TD
2022-12-20 18:25:56,37.75,TA
2022-12-20 18:25:56,36.88,TB
2022-12-20 18:25:57,35.00,TC
2022-12-20 18:30:57,33.50,TD
2022-12-20 18:30:57,37.75,TA
2022-12-20 18:30:57,36.88,TB
2022-12-20 18:30:58,35.06,TC
2022-12-20 18:35:58,33.56,TD
2022-12-20 18:35:58,37.81,TA
2022-12-20 18:35:58,36.88,TB
2022-12-20 18:35:59,35.06,TC
2022-12-20 18:40:59,33.56,TD
2022-12-20 18:40:59,37.75,TA
2022-12-20 18:40:59,36.94,TB
2022-12-20 18:40:59,35.00,TC
2022-12-20 18:46:00,33.63,TD
2022-12-20 18:46:00,37.81,TA
2022-12-20 18:46:00,36.94,TB
2022-12-20 18:46:00,35.00,TC
2022-12-20 18:51:01,33.56,TD
2022-12-20 18:51:01,37.75,TA
2022-12-20 18:51:01,36.94,TB
2022-12-20 18:51:01,35.00,TC
2022-12-20 18:56:02,33.56,TD
2022-12-20 18:56:02,37.81,TA
2022-12-20 18:56:02,36.94,TB
2022-12-20 18:56:02,35.06,TC
2022-12-20 19:01:03,33.56,TD
2022-12-20 19:01:03,37.88,TA
2022-12-20 19:01:03,37.00,TB
2022-12-20 19:01:03,35.13,TC
2022-12-20 19:06:04,33.63,TD
2022-12-20 19:06:04,37.81,TA
2022-12-20 19:06:04,37.00,TB
2022-12-20 19:06:04,35.13,TC
2022-12-20 19:11:05,33.56,TD
2022-12-20 19:11:05,37.88,TA
2022-12-20 19:11:05,36.94,TB
2022-12-20 19:11:05,35.13,TC
2022-12-20 19:16:06,33.63,TD
2022-12-20 19:16:06,37.88,TA
2022-12-20 19:16:06,37.00,TB
2022-12-20 19:16:06,35.06,TC
2022-12-20 19:21:07,33.69,TD
2022-12-20 19:21:07,37.88,TA
2022-12-20 19:21:07,37.06,TB
2022-12-20 19:21:07,35.19,TC
2022-12-20 19:26:08,33.69,TD
2022-12-20 19:26:08,37.94,TA
2022-12-20 19:26:08,37.06,TB
2022-12-20 19:26:08,35.19,TC
2022-12-20 19:31:09,33.75,TD
2022-12-20 19:31:09,37.88,TA
2022-12-20 19:31:09,37.13,TB
2022-12-20 19:31:09,35.19,TC
2022-12-20 19:36:10,33.75,TD
2022-12-20 19:36:10,37.94,TA
2022-12-20 19:36:10,37.13,TB
2022-12-20 19:36:10,35.13,TC
2022-12-20 19:41:11,33.75,TD
2022-12-20 19:41:11,38.00,TA
2022-12-20 19:41:11,37.06,TB
2022-12-20 19:41:11,35.19,TC
2022-12-20 19:46:12,33.75,TD
2022-12-20 19:46:12,37.94,TA
2022-12-20 19:46:12,37.13,TB
2022-12-20 19:46:12,35.13,TC
2022-12-20 19:51:13,33.75,TD
2022-12-20 19:51:13,37.94,TA
2022-12-20 19:51:13,37.13,TB
2022-12-20 19:51:13,35.25,TC
2022-12-20 19:56:14,33.81,TD
2022-12-20 19:56:14,38.00,TA
2022-12-20 19:56:14,37.19,TB
2022-12-20 19:56:14,35.25,TC
2022-12-20 20:01:15,33.81,TD
2022-12-20 20:01:15,38.00,TA
2022-12-20 20:01:15,37.25,TB
2022-12-20 20:01:15,35.31,TC
2022-12-20 20:06:16,33.81,TD
2022-12-20 20:06:16,37.94,TA
2022-12-20 20:06:16,37.25,TB
2022-12-20 20:06:16,35.25,TC
2022-12-20 20:11:17,33.81,TD
2022-12-20 20:11:17,38.00,TA
2022-12-20 20:11:17,37.25,TB
2022-12-20 20:11:17,35.31,TC
2022-12-20 20:16:18,33.81,TD
2022-12-20 20:16:18,38.06,TA
2022-12-20 20:16:18,37.25,TB
2022-12-20 20:16:18,35.25,TC
2022-12-20 20:21:19,33.88,TD
2022-12-20 20:21:19,38.06,TA
2022-12-20 20:21:19,37.31,TB
2022-12-20 20:21:19,35.31,TC
2022-12-20 20:26:20,33.88,TD
2022-12-20 20:26:20,38.13,TA
2022-12-20 20:26:20,37.31,TB
2022-12-20 20:26:20,35.31,TC
2022-12-20 20:31:21,33.88,TD
2022-12-20 20:31:21,38.06,TA
2022-12-20 20:31:21,37.25,TB
